# ========================================================================================
#  (C) (or copyright) 2023-2024. Triad National Security, LLC. All rights reserved.
#
#  This program was produced under U.S. Government contract 89233218CNA000001 for Los
#  Alamos National Laboratory (LANL), which is operated by Triad National Security, LLC
#  for the U.S. Department of Energy/National Nuclear Security Administration. All rights
#  in the program are reserved by Triad National Security, LLC, and the U.S. Department
#  of Energy/National Nuclear Security Administration. The Government is granted for
#  itself and others acting on its behalf a nonexclusive, paid-up, irrevocable worldwide
#  license in this material to reproduce, prepare derivative works, distribute copies to
#  the public, perform publicly and display publicly, and to permit others to do so.
# ========================================================================================
# Sedov Blast (2D) solution
# Generated with ExactPack, https://github.com/lanl/ExactPack
# [1]=radius             [2]=density              [3]=radial_velocity      [4]=pressure
0.000000000000000000e+00 2.035529153105307640e-05 0.000000000000000000e+00 7.831775354117082033e-01
7.326007326007326001e-04 2.180942136766626091e-05 2.604846029356790941e-03 7.831775460536627431e-01
1.465201465201465200e-03 2.326355120427944543e-05 5.209692058713581882e-03 7.831775566956172829e-01
2.197802197802197800e-03 2.471768104089262655e-05 7.814538088070373256e-03 7.831775673375719338e-01
2.930402930402930400e-03 2.617181087750581107e-05 1.041938411742716376e-02 7.831775779795264736e-01
3.663003663003663000e-03 2.762594071411899558e-05 1.302423014678395601e-02 7.831775886214810134e-01
4.395604395604395601e-03 2.908007055073218009e-05 1.562907617614074651e-02 7.831775992634355532e-01
5.128205128205128201e-03 3.053420038734536461e-05 1.823392220549753875e-02 7.831776099053902040e-01
5.860805860805860801e-03 3.198833022395854912e-05 2.083876823485432753e-02 7.831776205473447439e-01
6.593406593406593401e-03 3.344246006057173363e-05 2.344361426421111977e-02 7.831776311892992837e-01
7.326007326007326001e-03 3.489658989718491815e-05 2.604846029356791201e-02 7.831776418312538235e-01
8.058608058608057734e-03 3.635071973379810266e-05 2.865330632292469731e-02 7.831776524732083633e-01
8.791208791208791201e-03 3.780484957041128718e-05 3.125815235228149302e-02 7.831776631151630141e-01
9.523809523809524669e-03 3.925897940702447169e-05 3.386299838163828874e-02 7.831776737571175540e-01
1.025641025641025640e-02 4.071310924363765620e-05 3.646784441099507751e-02 7.831776843990720938e-01
1.098901098901098813e-02 4.216723908025083394e-05 3.907269044035186628e-02 7.831776950410266336e-01
