# ========================================================================================
#  (C) (or copyright) 2023-2024. Triad National Security, LLC. All rights reserved.
#
#  This program was produced under U.S. Government contract 89233218CNA000001 for Los
#  Alamos National Laboratory (LANL), which is operated by Triad National Security, LLC
#  for the U.S. Department of Energy/National Nuclear Security Administration. All rights
#  in the program are reserved by Triad National Security, LLC, and the U.S. Department
#  of Energy/National Nuclear Security Administration. The Government is granted for
#  itself and others acting on its behalf a nonexclusive, paid-up, irrevocable worldwide
#  license in this material to reproduce, prepare derivative works, distribute copies to
#  the public, perform publicly and display publicly, and to permit others to do so.
# ========================================================================================
# Sedov Blast (3D) solution
# Generated with ExactPack, https://github.com/lanl/ExactPack
# [1]=radius             [2]=density              [3]=radial_velocity      [4]=pressure
0.000000000000000000e+00 5.922885828191371338e-06 0.000000000000000000e+00 8.237506913954822929e-01
7.326007326007326001e-04 6.287202017511071445e-06 2.090110006431825616e-03 8.237507001086502578e-01
1.465201465201465200e-03 6.651518206830770706e-06 4.180220012863651233e-03 8.237507088218182227e-01
2.197802197802197800e-03 7.015834396150470813e-06 6.270330019295476849e-03 8.237507175349861877e-01
2.930402930402930400e-03 7.380150585470170074e-06 8.360440025727302465e-03 8.237507262481542636e-01
3.663003663003663000e-03 7.744466774789870181e-06 1.045055003215912721e-02 8.237507349613222285e-01
4.395604395604395601e-03 8.108782964109570289e-06 1.254066003859095370e-02 8.237507436744901934e-01
5.128205128205128201e-03 8.473099153429270396e-06 1.463077004502277845e-02 8.237507523876581583e-01
5.860805860805860801e-03 8.837415342748970503e-06 1.672088005145460493e-02 8.237507611008261232e-01
6.593406593406593401e-03 9.201731532068668917e-06 1.881099005788642795e-02 8.237507698139940882e-01
7.326007326007326001e-03 9.566047721388369024e-06 2.090110006431825443e-02 8.237507785271621641e-01
8.058608058608057734e-03 9.930363910708067438e-06 2.299121007075007744e-02 8.237507872403301290e-01
8.791208791208791201e-03 1.029468010002776755e-05 2.508132007718190740e-02 8.237507959534980939e-01
9.523809523809524669e-03 1.065899628934746935e-05 2.717143008361373388e-02 8.237508046666660588e-01
1.025641025641025640e-02 1.102331247866716776e-05 2.926154009004555689e-02 8.237508133798340237e-01
1.098901098901098813e-02 1.138762866798686787e-05 3.135165009647737644e-02 8.237508220930019887e-01
1.172161172161172160e-02 1.175194485730656797e-05 3.344176010290920986e-02 8.237508308061700646e-01
1.245421245421245507e-02 1.211626104662626808e-05 3.553187010934103635e-02 8.237508395193380295e-01
1.318681318681318680e-02 1.248057723594596819e-05 3.762198011577285589e-02 8.237508482325059944e-01
1.391941391941391853e-02 1.284489342526566660e-05 3.971209012220468237e-02 8.237508569456739593e-01
1.465201465201465200e-02 1.320920961458536671e-05 4.180220012863650886e-02 8.237508656588419242e-01
1.538461538461538547e-02 1.357352580390506682e-05 4.389231013506833534e-02 8.237508743720098892e-01
1.611721611721611547e-02 1.393784199322476523e-05 4.598242014150015489e-02 8.237508830851779651e-01
1.684981684981684893e-02 1.430215818254446534e-05 4.807253014793198137e-02 8.237508917983459300e-01
1.758241758241758240e-02 1.466647437186416545e-05 5.016264015436381479e-02 8.237509005115138949e-01
1.831501831501831587e-02 1.503079056118386555e-05 5.225275016079564128e-02 8.237509092246818598e-01
1.904761904761904934e-02 1.539510675050356905e-05 5.434286016722746776e-02 8.237509179378498247e-01
1.978021978021977934e-02 1.575942293982326577e-05 5.643297017365928731e-02 8.237509266510177897e-01
2.051282051282051280e-02 1.612373912914296588e-05 5.852308018009111379e-02 8.237509353641858656e-01
2.124542124542124627e-02 1.648805531846266598e-05 6.061319018652294027e-02 8.237509440773538305e-01
2.197802197802197627e-02 1.685237150778236270e-05 6.270330019295475288e-02 8.237509527905217954e-01
2.271062271062270974e-02 1.721668769710206281e-05 6.479341019938658630e-02 8.237509615036897603e-01
2.344322344322344320e-02 1.758100388642176292e-05 6.688352020581841972e-02 8.237509702168577252e-01
2.417582417582417667e-02 1.794532007574146303e-05 6.897363021225023927e-02 8.237509789300256902e-01
2.490842490842491014e-02 1.830963626506116313e-05 7.106374021868207269e-02 8.237509876431937661e-01
2.564102564102564014e-02 1.867395245438086324e-05 7.315385022511389224e-02 8.237509963563617310e-01
2.637362637362637360e-02 1.903826864370056335e-05 7.524396023154571178e-02 8.237510050695296959e-01
2.710622710622710707e-02 1.940258483302026345e-05 7.733407023797754520e-02 8.237510137826976608e-01
2.783882783882783707e-02 1.976690102233996356e-05 7.942418024440936475e-02 8.237510224958656257e-01
2.857142857142857054e-02 2.013121721165966367e-05 8.151429025084119817e-02 8.237510312090335907e-01
2.930402930402930400e-02 2.049553340097936378e-05 8.360440025727301772e-02 8.237510399222016666e-01
3.003663003663003747e-02 2.085984959029906388e-05 8.569451026370485114e-02 8.237510486353696315e-01
3.076923076923077094e-02 2.122416577961876399e-05 8.778462027013667068e-02 8.237510573485375964e-01
3.150183150183150094e-02 2.158848196893846410e-05 8.987473027656849023e-02 8.237510660617055613e-01
3.223443223443223093e-02 2.195279815825815743e-05 9.196484028300030977e-02 8.237510747748735263e-01
3.296703296703296787e-02 2.231711434757786431e-05 9.405495028943214320e-02 8.237510834880414912e-01
3.369963369963369787e-02 2.268143053689755765e-05 9.614506029586396274e-02 8.237510922012095671e-01
3.443223443223443481e-02 2.304574672621726453e-05 9.823517030229581004e-02 8.237511009143775320e-01
3.516483516483516480e-02 2.341006291553695786e-05 1.003252803087276296e-01 8.237511096275454969e-01
3.589743589743589480e-02 2.377437910485665797e-05 1.024153903151594353e-01 8.237511183407134618e-01
3.663003663003663174e-02 2.413869529417635808e-05 1.045055003215912826e-01 8.237511270538814268e-01
3.736263736263736174e-02 2.450301148349605818e-05 1.065956103280231021e-01 8.237511357670493917e-01
3.809523809523809867e-02 2.486732767281576507e-05 1.086857203344549355e-01 8.237511444802174676e-01
3.882783882783882867e-02 2.523164386213545840e-05 1.107758303408867551e-01 8.237511531933854325e-01
3.956043956043955867e-02 2.559596005145515851e-05 1.128659403473185746e-01 8.237511619065533974e-01
4.029304029304029561e-02 2.596027624077485861e-05 1.149560503537504080e-01 8.237511706197213623e-01
4.102564102564102561e-02 2.632459243009455872e-05 1.170461603601822276e-01 8.237511793328893273e-01
4.175824175824175560e-02 2.668890861941425883e-05 1.191362703666140471e-01 8.237511880460572922e-01
4.249084249084249254e-02 2.705322480873395894e-05 1.212263803730458805e-01 8.237511967592253681e-01
4.322344322344322254e-02 2.741754099805365904e-05 1.233164903794777001e-01 8.237512054723933330e-01
4.395604395604395254e-02 2.778185718737335915e-05 1.254066003859095058e-01 8.237512141855612979e-01
4.468864468864468947e-02 2.814617337669305926e-05 1.274967103923413669e-01 8.237512228987292628e-01
4.542124542124541947e-02 2.851048956601275936e-05 1.295868203987731726e-01 8.237512316118972278e-01
4.615384615384615641e-02 2.887480575533245947e-05 1.316769304052050060e-01 8.237512403250651927e-01
4.688644688644688641e-02 2.923912194465215958e-05 1.337670404116368394e-01 8.237512490382332686e-01
4.761904761904761640e-02 2.960343813397185291e-05 1.358571504180686451e-01 8.237512577514012335e-01
4.835164835164835334e-02 2.996775432329155979e-05 1.379472604245004785e-01 8.237512664645691984e-01
4.908424908424908334e-02 3.033207051261125313e-05 1.400373704309323120e-01 8.237512751777371633e-01
