# ========================================================================================
#  (C) (or copyright) 2023-2025. Triad National Security, LLC. All rights reserved.
#
#  This program was produced under U.S. Government contract 89233218CNA000001 for Los
#  Alamos National Laboratory (LANL), which is operated by Triad National Security, LLC
#  for the U.S. Department of Energy/National Nuclear Security Administration. All rights
#  in the program are reserved by Triad National Security, LLC, and the U.S. Department
#  of Energy/National Nuclear Security Administration. The Government is granted for
#  itself and others acting on its behalf a nonexclusive, paid-up, irrevocable worldwide
#  license in this material to reproduce, prepare derivative works, distribute copies to
#  the public, perform publicly and display publicly, and to permit others to do so.
# ========================================================================================
# Lowrie & Edwards Radiating Shock (Mach=3) solution
# Generated with open-souce Quokka script:
# https://github.com/quokka-astro/quokka/blob/development/extern/LowrieEdwards/radshock.py
# [1]=x(cm)                [2]=tgas(K)              [3]=trad(K)
 -6.7999999999999996e-03   2.1800003133150674e+06   2.1800021799685331e+06
 -6.7941589639287283e-03   2.1800003193709613e+06   2.1800022221041680e+06
 -6.7883179278574561e-03   2.1800003254268551e+06   2.1800022642398030e+06
 -6.7824768917861848e-03   2.1800003314827485e+06   2.1800023063754374e+06
 -6.7766358557149126e-03   2.1800003375386423e+06   2.1800023485110723e+06
 -6.7707948196436413e-03   2.1800003435945362e+06   2.1800023906467068e+06
 -6.7649537835723699e-03   2.1800003496504305e+06   2.1800024327823417e+06
 -6.7591127475010978e-03   2.1800003557063243e+06   2.1800024749179767e+06
 -6.7532717114298264e-03   2.1800003617622182e+06   2.1800025170536111e+06
 -6.7474306753585542e-03   2.1800003678181116e+06   2.1800025591892456e+06
 -6.7415896392872829e-03   2.1800003738740054e+06   2.1800026013248810e+06
 -6.7357486032160107e-03   2.1800003799298992e+06   2.1800026434605154e+06
 -6.7299075671447394e-03   2.1800003859857935e+06   2.1800026855961499e+06
 -6.7240665310734681e-03   2.1800003920416874e+06   2.1800027277317848e+06
 -6.7182254950021959e-03   2.1800003980975812e+06   2.1800027698674197e+06
 -6.7123844589309246e-03   2.1800004041534746e+06   2.1800028120030542e+06
 -6.7065434228596524e-03   2.1800004102093684e+06   2.1800028541386891e+06
 -6.7007023867883811e-03   2.1800004162652628e+06   2.1800028962743240e+06
